ecoregion;metierl4;species;model;bpue;lwr;upr;replicates;base_model_heterogeneity;alternative_models_flag
"baltic sea";"gns";"acipenser oxyrinchus";"n_ind ~ 1";0.0207330171973396;0.0064418951117855;0.0667285006424201;412;FALSE;FALSE
"baltic sea";"fpo";"acipenser oxyrinchus";"none";NA;NA;NA;61;NA;FALSE
"baltic sea";"otm";"acipenser oxyrinchus";"none";NA;NA;NA;140;NA;FALSE
"baltic sea";"otb";"acipenser oxyrinchus";"none";NA;NA;NA;159;NA;FALSE
"baltic sea";"fpn";"acipenser oxyrinchus";"none";NA;NA;NA;19;NA;FALSE
"baltic sea";"fyk";"acipenser oxyrinchus";"none";NA;NA;NA;40;NA;FALSE
"baltic sea";"lls";"acipenser oxyrinchus";"none";NA;NA;NA;8;NA;FALSE
"baltic sea";"lld";"acipenser oxyrinchus";"none";NA;NA;NA;21;NA;FALSE
"baltic sea";"gtr";"acipenser oxyrinchus";"none";NA;NA;NA;73;NA;FALSE
"baltic sea";"ptm";"acipenser oxyrinchus";"none";NA;NA;NA;9;NA;FALSE
"baltic sea";"sdn";"acipenser oxyrinchus";"none";NA;NA;NA;4;NA;FALSE
"baltic sea";"ssc";"acipenser oxyrinchus";"none";NA;NA;NA;3;NA;FALSE
"baltic sea";"ott";"acipenser oxyrinchus";"none";NA;NA;NA;1;NA;FALSE
"baltic sea";"gnd";"acipenser oxyrinchus";"none";NA;NA;NA;1;NA;FALSE
"greater north sea";"otb";"acipenser sturio";"none";NA;NA;NA;897;NA;FALSE
"greater north sea";"gnd";"acipenser sturio";"none";NA;NA;NA;59;NA;FALSE
"greater north sea";"gns";"acipenser sturio";"none";NA;NA;NA;392;NA;FALSE
"greater north sea";"ott";"acipenser sturio";"none";NA;NA;NA;333;NA;FALSE
"greater north sea";"tbb";"acipenser sturio";"none";NA;NA;NA;307;NA;FALSE
"greater north sea";"otm";"acipenser sturio";"none";NA;NA;NA;214;NA;FALSE
"greater north sea";"lhm";"acipenser sturio";"none";NA;NA;NA;44;NA;FALSE
"greater north sea";"gtr";"acipenser sturio";"none";NA;NA;NA;220;NA;FALSE
"greater north sea";"ptm";"acipenser sturio";"none";NA;NA;NA;26;NA;FALSE
"greater north sea";"sdn";"acipenser sturio";"none";NA;NA;NA;52;NA;FALSE
"greater north sea";"fpo";"acipenser sturio";"none";NA;NA;NA;80;NA;FALSE
"greater north sea";"lhp";"acipenser sturio";"none";NA;NA;NA;43;NA;FALSE
"greater north sea";"lls";"acipenser sturio";"none";NA;NA;NA;34;NA;FALSE
"greater north sea";"ps";"acipenser sturio";"none";NA;NA;NA;33;NA;FALSE
"greater north sea";"drb";"acipenser sturio";"none";NA;NA;NA;34;NA;FALSE
"greater north sea";"ssc";"acipenser sturio";"none";NA;NA;NA;47;NA;FALSE
"greater north sea";"ptb";"acipenser sturio";"none";NA;NA;NA;29;NA;FALSE
"greater north sea";"ltl";"acipenser sturio";"none";NA;NA;NA;11;NA;FALSE
"greater north sea";"fyk";"acipenser sturio";"none";NA;NA;NA;10;NA;FALSE
"greater north sea";"mis";"acipenser sturio";"none";NA;NA;NA;6;NA;FALSE
"greater north sea";"spr";"acipenser sturio";"none";NA;NA;NA;1;NA;FALSE
"greater north sea";"gtn";"acipenser sturio";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"gns";"acipenser sturio";"none";NA;NA;NA;234;NA;FALSE
"celtic seas";"otb";"acipenser sturio";"none";NA;NA;NA;533;NA;FALSE
"celtic seas";"gnd";"acipenser sturio";"none";NA;NA;NA;21;NA;FALSE
"celtic seas";"gtr";"acipenser sturio";"none";NA;NA;NA;134;NA;FALSE
"celtic seas";"ott";"acipenser sturio";"none";NA;NA;NA;139;NA;FALSE
"celtic seas";"tbb";"acipenser sturio";"none";NA;NA;NA;184;NA;FALSE
"celtic seas";"ssc";"acipenser sturio";"none";NA;NA;NA;46;NA;FALSE
"celtic seas";"ptm";"acipenser sturio";"none";NA;NA;NA;71;NA;FALSE
"celtic seas";"lhp";"acipenser sturio";"none";NA;NA;NA;9;NA;FALSE
"celtic seas";"otm";"acipenser sturio";"none";NA;NA;NA;128;NA;FALSE
"celtic seas";"ps";"acipenser sturio";"none";NA;NA;NA;35;NA;FALSE
"celtic seas";"lls";"acipenser sturio";"none";NA;NA;NA;18;NA;FALSE
"celtic seas";"lld";"acipenser sturio";"none";NA;NA;NA;0;NA;FALSE
"celtic seas";"drb";"acipenser sturio";"none";NA;NA;NA;14;NA;FALSE
"celtic seas";"lhm";"acipenser sturio";"none";NA;NA;NA;2;NA;FALSE
"celtic seas";"ptb";"acipenser sturio";"none";NA;NA;NA;8;NA;FALSE
"celtic seas";"ltl";"acipenser sturio";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"fpo";"acipenser sturio";"none";NA;NA;NA;3;NA;FALSE
"celtic seas";"sdn";"acipenser sturio";"none";NA;NA;NA;2;NA;FALSE
"bay of biscay and the iberian coast";"gns";"acipenser sturio";"none";NA;NA;NA;365;NA;FALSE
"bay of biscay and the iberian coast";"gtn";"acipenser sturio";"none";NA;NA;NA;12;NA;FALSE
"bay of biscay and the iberian coast";"gtr";"acipenser sturio";"none";NA;NA;NA;283;NA;FALSE
"bay of biscay and the iberian coast";"ltl";"acipenser sturio";"none";NA;NA;NA;43;NA;FALSE
"bay of biscay and the iberian coast";"lls";"acipenser sturio";"none";NA;NA;NA;128;NA;FALSE
"bay of biscay and the iberian coast";"ptm";"acipenser sturio";"none";NA;NA;NA;121;NA;FALSE
"bay of biscay and the iberian coast";"otb";"acipenser sturio";"none";NA;NA;NA;439;NA;FALSE
"bay of biscay and the iberian coast";"ott";"acipenser sturio";"none";NA;NA;NA;104;NA;FALSE
"bay of biscay and the iberian coast";"ptb";"acipenser sturio";"none";NA;NA;NA;130;NA;FALSE
"bay of biscay and the iberian coast";"gnc";"acipenser sturio";"none";NA;NA;NA;38;NA;FALSE
"bay of biscay and the iberian coast";"gnd";"acipenser sturio";"none";NA;NA;NA;27;NA;FALSE
"bay of biscay and the iberian coast";"fpo";"acipenser sturio";"none";NA;NA;NA;99;NA;FALSE
"bay of biscay and the iberian coast";"ps";"acipenser sturio";"none";NA;NA;NA;160;NA;FALSE
"bay of biscay and the iberian coast";"lld";"acipenser sturio";"none";NA;NA;NA;19;NA;FALSE
"bay of biscay and the iberian coast";"sdn";"acipenser sturio";"none";NA;NA;NA;46;NA;FALSE
"bay of biscay and the iberian coast";"lhp";"acipenser sturio";"none";NA;NA;NA;53;NA;FALSE
"bay of biscay and the iberian coast";"otm";"acipenser sturio";"none";NA;NA;NA;19;NA;FALSE
"bay of biscay and the iberian coast";"mis";"acipenser sturio";"none";NA;NA;NA;17;NA;FALSE
"bay of biscay and the iberian coast";"tbb";"acipenser sturio";"none";NA;NA;NA;22;NA;FALSE
"bay of biscay and the iberian coast";"drb";"acipenser sturio";"none";NA;NA;NA;5;NA;FALSE
"bay of biscay and the iberian coast";"lhm";"acipenser sturio";"none";NA;NA;NA;24;NA;FALSE
"bay of biscay and the iberian coast";"sb";"acipenser sturio";"none";NA;NA;NA;5;NA;FALSE
"greenland sea";"otb";"apristurus laurussonii";"none";NA;NA;NA;21;NA;FALSE
"greenland sea";"otm";"apristurus laurussonii";"none";NA;NA;NA;3;NA;FALSE
"greenland sea";"ott";"apristurus laurussonii";"none";NA;NA;NA;1;NA;FALSE
"icelandic waters";"gns";"apristurus laurussonii";"none";NA;NA;NA;45;NA;FALSE
"icelandic waters";"otb";"apristurus laurussonii";"n_ind ~ 1";0.0391072112010892;0.00968813357648035;0.157860536898399;47;FALSE;TRUE
"icelandic waters";"lls";"apristurus laurussonii";"none";NA;NA;NA;36;NA;FALSE
"icelandic waters";"drb";"apristurus laurussonii";"none";NA;NA;NA;5;NA;FALSE
"icelandic waters";"otm";"apristurus laurussonii";"none";NA;NA;NA;23;NA;FALSE
"icelandic waters";"sdn";"apristurus laurussonii";"none";NA;NA;NA;23;NA;FALSE
"icelandic waters";"lhm";"apristurus laurussonii";"none";NA;NA;NA;7;NA;FALSE
"icelandic waters";"ps";"apristurus laurussonii";"none";NA;NA;NA;3;NA;FALSE
"icelandic waters";"fpo";"apristurus laurussonii";"none";NA;NA;NA;2;NA;FALSE
"faroes";"otb";"apristurus laurussonii";"none";NA;NA;NA;11;NA;FALSE
"faroes";"otm";"apristurus laurussonii";"none";NA;NA;NA;10;NA;FALSE
"faroes";"ptm";"apristurus laurussonii";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"gns";"apristurus laurussonii";"none";NA;NA;NA;239;NA;FALSE
"celtic seas";"otb";"apristurus laurussonii";"none";NA;NA;NA;533;NA;FALSE
"celtic seas";"gnd";"apristurus laurussonii";"none";NA;NA;NA;21;NA;FALSE
"celtic seas";"gtr";"apristurus laurussonii";"none";NA;NA;NA;134;NA;FALSE
"celtic seas";"ott";"apristurus laurussonii";"none";NA;NA;NA;139;NA;FALSE
"celtic seas";"tbb";"apristurus laurussonii";"none";NA;NA;NA;184;NA;FALSE
"celtic seas";"ssc";"apristurus laurussonii";"none";NA;NA;NA;46;NA;FALSE
"celtic seas";"ptm";"apristurus laurussonii";"none";NA;NA;NA;71;NA;FALSE
"celtic seas";"lhp";"apristurus laurussonii";"none";NA;NA;NA;9;NA;FALSE
"celtic seas";"otm";"apristurus laurussonii";"none";NA;NA;NA;128;NA;FALSE
"celtic seas";"ps";"apristurus laurussonii";"none";NA;NA;NA;35;NA;FALSE
"celtic seas";"lls";"apristurus laurussonii";"none";NA;NA;NA;18;NA;FALSE
"celtic seas";"lld";"apristurus laurussonii";"none";NA;NA;NA;0;NA;FALSE
"celtic seas";"drb";"apristurus laurussonii";"none";NA;NA;NA;14;NA;FALSE
"celtic seas";"lhm";"apristurus laurussonii";"none";NA;NA;NA;2;NA;FALSE
"celtic seas";"ptb";"apristurus laurussonii";"none";NA;NA;NA;8;NA;FALSE
"celtic seas";"ltl";"apristurus laurussonii";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"fpo";"apristurus laurussonii";"none";NA;NA;NA;3;NA;FALSE
"celtic seas";"sdn";"apristurus laurussonii";"none";NA;NA;NA;2;NA;FALSE
"oceanic northeast atlantic";"lld";"apristurus laurussonii";"none";NA;NA;NA;1;NA;FALSE
"oceanic northeast atlantic";"otb";"apristurus laurussonii";"none";NA;NA;NA;15;NA;FALSE
"oceanic northeast atlantic";"otm";"apristurus laurussonii";"none";NA;NA;NA;10;NA;FALSE
"barents sea";"otb";"alca torda";"none";NA;NA;NA;58;NA;FALSE
"barents sea";"ott";"alca torda";"none";NA;NA;NA;3;NA;FALSE
"barents sea";"otm";"alca torda";"none";NA;NA;NA;0;NA;FALSE
"barents sea";"gns";"alca torda";"none";NA;NA;NA;4;NA;FALSE
"norwegian sea";"otb";"alca torda";"none";NA;NA;NA;31;NA;FALSE
"norwegian sea";"ott";"alca torda";"none";NA;NA;NA;9;NA;FALSE
"norwegian sea";"otm";"alca torda";"none";NA;NA;NA;27;NA;FALSE
"norwegian sea";"gns";"alca torda";"n_ind ~ 1";0.0008022886959858;6.11939188587999e-05;0.0105184822889315;24;FALSE;FALSE
"norwegian sea";"ptb";"alca torda";"none";NA;NA;NA;17;NA;FALSE
"faroes";"otb";"alca torda";"none";NA;NA;NA;11;NA;FALSE
"faroes";"otm";"alca torda";"none";NA;NA;NA;10;NA;FALSE
"faroes";"ptm";"alca torda";"none";NA;NA;NA;1;NA;FALSE
"icelandic waters";"gns";"alca torda";"n_ind ~ 1";0.00874632115453683;0.00304137311063011;0.0251524988732637;45;FALSE;FALSE
"icelandic waters";"otb";"alca torda";"none";NA;NA;NA;47;NA;FALSE
"icelandic waters";"lls";"alca torda";"none";NA;NA;NA;36;NA;FALSE
"icelandic waters";"drb";"alca torda";"none";NA;NA;NA;5;NA;FALSE
"icelandic waters";"otm";"alca torda";"none";NA;NA;NA;23;NA;FALSE
"icelandic waters";"sdn";"alca torda";"none";NA;NA;NA;23;NA;FALSE
"icelandic waters";"lhm";"alca torda";"none";NA;NA;NA;7;NA;FALSE
"icelandic waters";"ps";"alca torda";"none";NA;NA;NA;3;NA;FALSE
"icelandic waters";"fpo";"alca torda";"none";NA;NA;NA;2;NA;FALSE
"greenland sea";"otb";"alca torda";"none";NA;NA;NA;21;NA;FALSE
"greenland sea";"otm";"alca torda";"none";NA;NA;NA;3;NA;FALSE
"greenland sea";"ott";"alca torda";"none";NA;NA;NA;1;NA;FALSE
"oceanic northeast atlantic";"lld";"alca torda";"none";NA;NA;NA;1;NA;FALSE
"oceanic northeast atlantic";"otb";"alca torda";"none";NA;NA;NA;15;NA;FALSE
"oceanic northeast atlantic";"otm";"alca torda";"none";NA;NA;NA;10;NA;FALSE
"bay of biscay and the iberian coast";"gns";"alca torda";"n_ind ~ 1";0.00509714459097127;0.00161426733921275;0.0160945354899753;372;FALSE;TRUE
"bay of biscay and the iberian coast";"gtn";"alca torda";"none";NA;NA;NA;12;NA;FALSE
"bay of biscay and the iberian coast";"gtr";"alca torda";"n_ind ~ 1";0.00390105760575731;0.00168902977855433;0.00901005455123623;283;FALSE;TRUE
"bay of biscay and the iberian coast";"ltl";"alca torda";"none";NA;NA;NA;43;NA;FALSE
"bay of biscay and the iberian coast";"lls";"alca torda";"none";NA;NA;NA;132;NA;FALSE
"bay of biscay and the iberian coast";"ptm";"alca torda";"none";NA;NA;NA;119;NA;FALSE
"bay of biscay and the iberian coast";"otb";"alca torda";"none";NA;NA;NA;439;NA;FALSE
"bay of biscay and the iberian coast";"ott";"alca torda";"none";NA;NA;NA;104;NA;FALSE
"bay of biscay and the iberian coast";"ptb";"alca torda";"none";NA;NA;NA;130;NA;FALSE
"bay of biscay and the iberian coast";"gnc";"alca torda";"none";NA;NA;NA;38;NA;FALSE
"bay of biscay and the iberian coast";"gnd";"alca torda";"n_ind ~ 1";0.021655584149017;0.0030504655236983;0.153735330293651;27;FALSE;FALSE
"bay of biscay and the iberian coast";"fpo";"alca torda";"none";NA;NA;NA;99;NA;FALSE
"bay of biscay and the iberian coast";"ps";"alca torda";"none";NA;NA;NA;160;NA;FALSE
"bay of biscay and the iberian coast";"lld";"alca torda";"none";NA;NA;NA;19;NA;FALSE
"bay of biscay and the iberian coast";"sdn";"alca torda";"none";NA;NA;NA;46;NA;FALSE
"bay of biscay and the iberian coast";"lhp";"alca torda";"none";NA;NA;NA;53;NA;FALSE
"bay of biscay and the iberian coast";"otm";"alca torda";"none";NA;NA;NA;19;NA;FALSE
"bay of biscay and the iberian coast";"mis";"alca torda";"none";NA;NA;NA;17;NA;FALSE
"bay of biscay and the iberian coast";"tbb";"alca torda";"none";NA;NA;NA;22;NA;FALSE
"bay of biscay and the iberian coast";"drb";"alca torda";"none";NA;NA;NA;5;NA;FALSE
"bay of biscay and the iberian coast";"lhm";"alca torda";"none";NA;NA;NA;24;NA;FALSE
"bay of biscay and the iberian coast";"sb";"alca torda";"none";NA;NA;NA;5;NA;FALSE
"celtic seas";"gns";"alca torda";"none";NA;NA;NA;186;NA;FALSE
"celtic seas";"otb";"alca torda";"none";NA;NA;NA;456;NA;FALSE
"celtic seas";"gnd";"alca torda";"none";NA;NA;NA;5;NA;FALSE
"celtic seas";"gtr";"alca torda";"none";NA;NA;NA;127;NA;FALSE
"celtic seas";"ott";"alca torda";"none";NA;NA;NA;125;NA;FALSE
"celtic seas";"tbb";"alca torda";"none";NA;NA;NA;122;NA;FALSE
"celtic seas";"ssc";"alca torda";"none";NA;NA;NA;43;NA;FALSE
"celtic seas";"ptm";"alca torda";"none";NA;NA;NA;67;NA;FALSE
"celtic seas";"lhp";"alca torda";"none";NA;NA;NA;9;NA;FALSE
"celtic seas";"otm";"alca torda";"none";NA;NA;NA;118;NA;FALSE
"celtic seas";"ps";"alca torda";"none";NA;NA;NA;35;NA;FALSE
"celtic seas";"lls";"alca torda";"none";NA;NA;NA;18;NA;FALSE
"celtic seas";"lld";"alca torda";"none";NA;NA;NA;0;NA;FALSE
"celtic seas";"drb";"alca torda";"none";NA;NA;NA;3;NA;FALSE
"celtic seas";"lhm";"alca torda";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"ptb";"alca torda";"none";NA;NA;NA;8;NA;FALSE
"celtic seas";"ltl";"alca torda";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"fpo";"alca torda";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"sdn";"alca torda";"none";NA;NA;NA;2;NA;FALSE
"greater north sea";"otb";"alca torda";"none";NA;NA;NA;695;NA;FALSE
"greater north sea";"gnd";"alca torda";"none";NA;NA;NA;31;NA;FALSE
"greater north sea";"gns";"alca torda";"n_ind ~ 1";0.0220365198277993;0.00717684613910868;0.0676631763741979;439;FALSE;TRUE
"greater north sea";"ott";"alca torda";"none";NA;NA;NA;217;NA;FALSE
"greater north sea";"tbb";"alca torda";"none";NA;NA;NA;251;NA;FALSE
"greater north sea";"otm";"alca torda";"none";NA;NA;NA;204;NA;FALSE
"greater north sea";"lhm";"alca torda";"none";NA;NA;NA;16;NA;FALSE
"greater north sea";"gtr";"alca torda";"none";NA;NA;NA;207;NA;FALSE
"greater north sea";"ptm";"alca torda";"none";NA;NA;NA;26;NA;FALSE
"greater north sea";"sdn";"alca torda";"none";NA;NA;NA;52;NA;FALSE
"greater north sea";"fpo";"alca torda";"none";NA;NA;NA;68;NA;FALSE
"greater north sea";"lhp";"alca torda";"none";NA;NA;NA;43;NA;FALSE
"greater north sea";"lls";"alca torda";"none";NA;NA;NA;28;NA;FALSE
"greater north sea";"ps";"alca torda";"none";NA;NA;NA;33;NA;FALSE
"greater north sea";"drb";"alca torda";"none";NA;NA;NA;3;NA;FALSE
"greater north sea";"ssc";"alca torda";"none";NA;NA;NA;47;NA;FALSE
"greater north sea";"ptb";"alca torda";"none";NA;NA;NA;28;NA;FALSE
"greater north sea";"ltl";"alca torda";"none";NA;NA;NA;11;NA;FALSE
"greater north sea";"fyk";"alca torda";"none";NA;NA;NA;10;NA;FALSE
"greater north sea";"mis";"alca torda";"none";NA;NA;NA;6;NA;FALSE
"greater north sea";"spr";"alca torda";"none";NA;NA;NA;1;NA;FALSE
"greater north sea";"gtn";"alca torda";"none";NA;NA;NA;1;NA;FALSE
"baltic sea";"gns";"alca torda";"n_ind ~ 1";2.74720759742157e-05;2.24792741524727e-10;3.35738135143507;598;FALSE;TRUE
"baltic sea";"fpo";"alca torda";"none";NA;NA;NA;59;NA;FALSE
"baltic sea";"otm";"alca torda";"none";NA;NA;NA;117;NA;FALSE
"baltic sea";"otb";"alca torda";"none";NA;NA;NA;125;NA;FALSE
"baltic sea";"fpn";"alca torda";"none";NA;NA;NA;19;NA;FALSE
"baltic sea";"fyk";"alca torda";"none";NA;NA;NA;40;NA;FALSE
"baltic sea";"lls";"alca torda";"none";NA;NA;NA;8;NA;FALSE
"baltic sea";"lld";"alca torda";"none";NA;NA;NA;16;NA;FALSE
"baltic sea";"gtr";"alca torda";"n_ind ~ 1";0.00283233104961083;0.000708354208187986;0.0113249827301946;100;FALSE;FALSE
"baltic sea";"ptm";"alca torda";"none";NA;NA;NA;9;NA;FALSE
"baltic sea";"sdn";"alca torda";"none";NA;NA;NA;4;NA;FALSE
"baltic sea";"ssc";"alca torda";"none";NA;NA;NA;3;NA;FALSE
"baltic sea";"ott";"alca torda";"none";NA;NA;NA;0;NA;FALSE
"baltic sea";"gnd";"alca torda";"none";NA;NA;NA;1;NA;FALSE
"arcticocean";NA;"amblyraja hyperborea";"none";NA;NA;NA;0;NA;FALSE
"greenland sea";"otb";"amblyraja hyperborea";"n_ind ~ 1";0.0105667485199476;0.000705026227433787;0.158371660427768;21;FALSE;TRUE
"greenland sea";"otm";"amblyraja hyperborea";"none";NA;NA;NA;3;NA;FALSE
"greenland sea";"ott";"amblyraja hyperborea";"none";NA;NA;NA;1;NA;FALSE
"barents sea";"otb";"amblyraja hyperborea";"n_ind ~ 1";0.28755234119147;0.00129520727778142;63.8402442166094;69;FALSE;FALSE
"barents sea";"ott";"amblyraja hyperborea";"none";NA;NA;NA;3;NA;FALSE
"barents sea";"otm";"amblyraja hyperborea";"none";NA;NA;NA;0;NA;FALSE
"barents sea";"gns";"amblyraja hyperborea";"none";NA;NA;NA;4;NA;FALSE
"norwegian sea";"otb";"amblyraja hyperborea";"none";NA;NA;NA;31;NA;FALSE
"norwegian sea";"ott";"amblyraja hyperborea";"none";NA;NA;NA;9;NA;FALSE
"norwegian sea";"otm";"amblyraja hyperborea";"none";NA;NA;NA;30;NA;FALSE
"norwegian sea";"gns";"amblyraja hyperborea";"none";NA;NA;NA;24;NA;FALSE
"norwegian sea";"ptb";"amblyraja hyperborea";"none";NA;NA;NA;17;NA;FALSE
"icelandic waters";"gns";"amblyraja hyperborea";"none";NA;NA;NA;45;NA;FALSE
"icelandic waters";"otb";"amblyraja hyperborea";"n_ind ~ 1 + (1 | quarter)";0.00325872941786039;1.58175841441828e-05;0.671361525377704;47;TRUE;TRUE
"icelandic waters";"lls";"amblyraja hyperborea";"none";NA;NA;NA;36;NA;FALSE
"icelandic waters";"drb";"amblyraja hyperborea";"none";NA;NA;NA;5;NA;FALSE
"icelandic waters";"otm";"amblyraja hyperborea";"none";NA;NA;NA;23;NA;FALSE
"icelandic waters";"sdn";"amblyraja hyperborea";"none";NA;NA;NA;23;NA;FALSE
"icelandic waters";"lhm";"amblyraja hyperborea";"none";NA;NA;NA;7;NA;FALSE
"icelandic waters";"ps";"amblyraja hyperborea";"none";NA;NA;NA;3;NA;FALSE
"icelandic waters";"fpo";"amblyraja hyperborea";"none";NA;NA;NA;2;NA;FALSE
"faroes";"otb";"amblyraja hyperborea";"none";NA;NA;NA;11;NA;FALSE
"faroes";"otm";"amblyraja hyperborea";"none";NA;NA;NA;10;NA;FALSE
"faroes";"ptm";"amblyraja hyperborea";"none";NA;NA;NA;1;NA;FALSE
"greenland sea";"otb";"amblyraja radiata";"n_ind ~ 1";19.5012484280031;6.43206493168231;59.125443273662;21;TRUE;FALSE
"greenland sea";"otm";"amblyraja radiata";"none";NA;NA;NA;3;NA;FALSE
"greenland sea";"ott";"amblyraja radiata";"only one";NA;NA;NA;1;NA;FALSE
"faroes";"otb";"amblyraja radiata";"none";NA;NA;NA;11;NA;FALSE
"faroes";"otm";"amblyraja radiata";"none";NA;NA;NA;10;NA;FALSE
"faroes";"ptm";"amblyraja radiata";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"gns";"amblyraja radiata";"none";NA;NA;NA;239;NA;FALSE
"celtic seas";"otb";"amblyraja radiata";"n_ind ~ 1";9.40037854667333e-14;2.22044604925031e-16;3.82141257428616e-05;533;FALSE;TRUE
"celtic seas";"gnd";"amblyraja radiata";"none";NA;NA;NA;21;NA;FALSE
"celtic seas";"gtr";"amblyraja radiata";"none";NA;NA;NA;134;NA;FALSE
"celtic seas";"ott";"amblyraja radiata";"n_ind ~ 1";0.0199043040979176;0.00336407104827044;0.11776841687873;139;FALSE;TRUE
"celtic seas";"tbb";"amblyraja radiata";"none";NA;NA;NA;184;NA;FALSE
"celtic seas";"ssc";"amblyraja radiata";"none";NA;NA;NA;46;NA;FALSE
"celtic seas";"ptm";"amblyraja radiata";"none";NA;NA;NA;71;NA;FALSE
"celtic seas";"lhp";"amblyraja radiata";"none";NA;NA;NA;9;NA;FALSE
"celtic seas";"otm";"amblyraja radiata";"none";NA;NA;NA;128;NA;FALSE
"celtic seas";"ps";"amblyraja radiata";"none";NA;NA;NA;35;NA;FALSE
"celtic seas";"lls";"amblyraja radiata";"none";NA;NA;NA;18;NA;FALSE
"celtic seas";"lld";"amblyraja radiata";"none";NA;NA;NA;0;NA;FALSE
"celtic seas";"drb";"amblyraja radiata";"none";NA;NA;NA;14;NA;FALSE
"celtic seas";"lhm";"amblyraja radiata";"none";NA;NA;NA;2;NA;FALSE
"celtic seas";"ptb";"amblyraja radiata";"none";NA;NA;NA;8;NA;FALSE
"celtic seas";"ltl";"amblyraja radiata";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"fpo";"amblyraja radiata";"none";NA;NA;NA;3;NA;FALSE
"celtic seas";"sdn";"amblyraja radiata";"none";NA;NA;NA;2;NA;FALSE
"greenland sea";"otb";"alepocephalus bairdii";"n_ind ~ 1";0.12133507664674;0.00763925145432876;1.92717845627768;21;FALSE;FALSE
"greenland sea";"otm";"alepocephalus bairdii";"none";NA;NA;NA;3;NA;FALSE
"greenland sea";"ott";"alepocephalus bairdii";"none";NA;NA;NA;1;NA;FALSE
"faroes";"otb";"alepocephalus bairdii";"none";NA;NA;NA;11;NA;FALSE
"faroes";"otm";"alepocephalus bairdii";"none";NA;NA;NA;10;NA;FALSE
"faroes";"ptm";"alepocephalus bairdii";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"gns";"alepocephalus bairdii";"none";NA;NA;NA;234;NA;FALSE
"celtic seas";"otb";"alepocephalus bairdii";"n_ind ~ 1";0.325753146274644;0.0138421473549141;7.6660874636736;533;TRUE;FALSE
"celtic seas";"gnd";"alepocephalus bairdii";"none";NA;NA;NA;21;NA;FALSE
"celtic seas";"gtr";"alepocephalus bairdii";"none";NA;NA;NA;134;NA;FALSE
"celtic seas";"ott";"alepocephalus bairdii";"n_ind ~ 1";0.0872291128651003;0.000873052065621632;8.71530854899782;139;FALSE;TRUE
"celtic seas";"tbb";"alepocephalus bairdii";"none";NA;NA;NA;184;NA;FALSE
"celtic seas";"ssc";"alepocephalus bairdii";"none";NA;NA;NA;46;NA;FALSE
"celtic seas";"ptm";"alepocephalus bairdii";"none";NA;NA;NA;71;NA;FALSE
"celtic seas";"lhp";"alepocephalus bairdii";"none";NA;NA;NA;9;NA;FALSE
"celtic seas";"otm";"alepocephalus bairdii";"none";NA;NA;NA;128;NA;FALSE
"celtic seas";"ps";"alepocephalus bairdii";"none";NA;NA;NA;35;NA;FALSE
"celtic seas";"lls";"alepocephalus bairdii";"none";NA;NA;NA;18;NA;FALSE
"celtic seas";"lld";"alepocephalus bairdii";"none";NA;NA;NA;0;NA;FALSE
"celtic seas";"drb";"alepocephalus bairdii";"none";NA;NA;NA;14;NA;FALSE
"celtic seas";"lhm";"alepocephalus bairdii";"none";NA;NA;NA;2;NA;FALSE
"celtic seas";"ptb";"alepocephalus bairdii";"none";NA;NA;NA;8;NA;FALSE
"celtic seas";"ltl";"alepocephalus bairdii";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"fpo";"alepocephalus bairdii";"none";NA;NA;NA;3;NA;FALSE
"celtic seas";"sdn";"alepocephalus bairdii";"none";NA;NA;NA;2;NA;FALSE
"oceanic northeast atlantic";"lld";"alepocephalus bairdii";"none";NA;NA;NA;1;NA;FALSE
"oceanic northeast atlantic";"otb";"alepocephalus bairdii";"none";NA;NA;NA;15;NA;FALSE
"oceanic northeast atlantic";"otm";"alepocephalus bairdii";"none";NA;NA;NA;10;NA;FALSE
"bay of biscay and the iberian coast";"gns";"alepocephalus bairdii";"none";NA;NA;NA;365;NA;FALSE
"bay of biscay and the iberian coast";"gtn";"alepocephalus bairdii";"none";NA;NA;NA;12;NA;FALSE
"bay of biscay and the iberian coast";"gtr";"alepocephalus bairdii";"none";NA;NA;NA;283;NA;FALSE
"bay of biscay and the iberian coast";"ltl";"alepocephalus bairdii";"none";NA;NA;NA;43;NA;FALSE
"bay of biscay and the iberian coast";"lls";"alepocephalus bairdii";"none";NA;NA;NA;128;NA;FALSE
"bay of biscay and the iberian coast";"ptm";"alepocephalus bairdii";"none";NA;NA;NA;121;NA;FALSE
"bay of biscay and the iberian coast";"otb";"alepocephalus bairdii";"none";NA;NA;NA;439;NA;FALSE
"bay of biscay and the iberian coast";"ott";"alepocephalus bairdii";"none";NA;NA;NA;104;NA;FALSE
